folder,filename,type,is_watercolor,confidence,processed_frames,planned_frames,total_frames,watercolor_frames_count,watercolor_frames_percent,avg_watercolor_confidence
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251108-224411000+1.mov,video,False,0.006034616148099303,4,4,52,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251013-135645000.mov,video,False,0.39131943598389624,25,25,697,9,0.36,0.939527518219418
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-120015000.mov,video,False,0.023260471352841705,11,11,297,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251101-130815000.mp4,video,False,0.08251241062368665,21,21,608,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-123159000.mov,video,False,0.08555951127404901,37,37,1067,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251003-183802000.mov,video,False,0.06464177928864956,30,30,868,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251010-162354000.mov,video,False,0.36376110198242323,14,14,404,4,0.2857142857142857,0.8324031680822372
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251014-171209000.mov,video,False,0.023514292506582064,23,23,661,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251004-134604000.mov,video,False,0.05143512971699238,6,6,161,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251009-131129000.mov,video,False,0.025865641547300453,14,14,385,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251002-141340000.mov,video,False,0.07630958450958132,25,25,712,0,0.0,0.0
/Users/yossi.srebnogur/Documents/GitHub/ImageClassification/data/videos/other,20251005-182313000.mov,video,False,0.009783048393532029,37,37,1049,0,0.0,0.0
